timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos,thermal_paused
15:35:29.608,0,0.0,0,600,0,0,0,-50,466,5577418,20,-279,14252952,0
15:35:29.613,0,0.0,0,600,0,0,0,8,468,5577418,18,-51,14252954,0
15:35:29.618,0,0.0,0,600,0,0,0,-20,596,5577419,22,-183,14252952,0
15:35:29.623,0,0.0,0,600,0,0,0,49,407,5577418,71,1630,14252965,0
15:35:29.628,0,0.0,0,600,0,0,0,8,404,5577418,21,-337,14252952,0
15:35:29.633,0,0.0,0,600,0,0,0,295,15970,5577530,113,-402,14252952,0
15:35:29.638,0,0.0,0,600,0,0,0,309,154868,5578790,73,-173,14252952,0
15:35:29.643,0,0.0,0,600,0,0,0,498,399215,5581867,142,-8647,14252890,0
15:35:29.649,0,0.0,0,600,0,0,0,807,531758,5584942,829,-26390,14252662,0
15:35:29.654,0,-0.09,0,600,0,0,0,1175,441829,5587194,1372,-43764,14252349,0
15:35:29.659,0,-0.46,0,600,0,0,0,900,216359,5587282,1382,-47783,14252136,0
15:35:29.664,0,-1.3,0,600,0,0,0,462,-52238,5586023,756,-22346,14252122,0
15:35:29.669,0,-2.59,0,600,0,0,0,218,-231942,5584143,313,-11239,14252097,0
15:35:29.674,0,-4.03,0,600,0,0,0,249,-269707,5582458,72,-7,14252160,0
15:35:29.679,0,-5.02,0,600,0,0,0,287,-175539,5581995,68,1667,14252169,0
15:35:29.684,0,-5.11,0,600,0,0,0,443,35333,5582938,206,-10001,14252085,0
15:35:29.689,0,-4.3,0,600,0,0,0,657,209772,5584651,462,-18050,14251968,0
15:35:29.694,0,-3.03,23,600,0,0,0,999,276916,5586522,792,-22071,14251814,0
15:35:29.699,0,-1.97,23,600,0,0,0,980,180848,5587002,1272,-37262,14251562,0
15:35:29.704,0,-1.62,23,600,0,0,0,623,26096,5586566,730,-26113,14251489,0
15:35:29.709,0,-2.09,23,600,0,0,0,447,-88883,5585675,318,-13501,14251469,0
15:35:29.714,0,-3.05,23,600,0,0,0,387,-156066,5584490,304,-9298,14251437,0
15:35:29.719,0,-4.0,23,600,0,0,0,405,-97285,5584235,238,-6231,14251433,0
15:35:29.725,0,-4.47,23,600,0,0,0,633,36942,5584922,337,-12024,14251365,0
15:35:29.730,0,-4.25,23,600,0,0,0,716,120272,5585850,476,-16100,14251274,0
15:35:29.735,0,-2.79,23,600,0,0,0,846,124456,5586490,704,-20522,14251130,0
15:35:29.740,0,-2.41,23,600,0,0,0,672,54625,5586554,630,-21906,14251013,0
15:35:29.745,0,-2.55,23,600,0,0,0,534,488,5586331,539,-18045,14250953,0
15:35:29.750,0,-3.03,23,600,0,0,0,519,-35349,5585978,341,-13256,14250901,0
15:35:29.755,0,-3.52,23,600,0,0,0,499,-24023,5585902,356,-10819,14250857,0
15:35:29.760,0,-3.74,23,600,0,0,0,593,-1132,5585995,398,-10801,14250793,0
15:35:29.765,0,-3.64,23,600,0,0,0,623,19993,5586186,539,-16310,14250686,0
15:35:29.770,0,-3.34,23,600,0,0,0,613,20114,5586282,507,-18388,14250598,0
15:35:29.775,0,-3.04,23,600,0,0,0,597,14968,5586334,450,-15435,14250554,0
15:35:29.780,0,-2.87,23,600,0,0,0,596,8355,5586359,377,-13265,14250489,0
15:35:29.785,0,-2.83,23,600,0,0,0,588,4367,5586363,389,-12234,14250421,0
15:35:29.790,0,-2.86,23,600,0,0,0,572,6949,5586407,451,-11613,14250365,0
15:35:29.795,0,-2.88,23,600,0,0,0,597,13095,5586491,427,-12717,14250289,0
15:35:29.801,0,-2.85,23,600,0,0,0,592,21431,5586635,408,-16848,14250208,0
15:35:29.806,0,-2.81,23,600,0,0,0,631,24602,5586763,436,-17186,14250124,0
15:35:29.811,0,-2.78,23,600,0,0,0,628,23606,5586891,448,-14154,14250058,0
15:35:29.816,0,-2.79,23,600,0,0,0,619,15443,5586926,400,-13529,14249997,0
15:35:29.821,0,-2.84,23,600,0,0,0,545,8131,5586935,418,-12779,14249926,0
15:35:29.826,0,-2.91,23,600,0,0,0,598,6375,5586951,409,-11394,14249853,0
15:35:29.831,0,-2.96,23,600,0,0,0,582,12725,5587047,481,-15049,14249769,0
15:35:29.836,0,-2.97,23,600,0,0,0,577,19391,5587171,414,-13884,14249709,0
15:35:29.841,0,-2.95,23,600,0,0,0,634,21253,5587274,476,-13662,14249621,0
15:35:29.846,0,-2.91,23,600,0,0,0,613,22885,5587403,432,-16704,14249534,0
15:35:29.851,0,-2.9,23,600,0,0,0,662,18139,5587466,426,-13721,14249480,0
15:35:29.856,0,-2.92,23,600,0,0,0,627,12717,5587514,449,-14782,14249386,0
15:35:29.861,0,-2.97,23,600,0,0,0,596,9773,5587546,364,-13382,14249329,0
15:35:29.866,0,-3.02,23,600,0,0,0,603,13275,5587626,387,-13936,14249245,0
15:35:29.871,0,-3.04,23,600,0,0,0,569,16764,5587718,413,-11659,14249181,0
15:35:29.876,0,-3.04,23,600,0,0,0,619,17215,5587815,331,-17422,14249084,0
15:35:29.882,0,-3.02,23,600,0,0,0,586,14071,5587886,437,-15834,14249018,0
15:35:29.887,0,-3.01,23,600,0,0,0,628,11200,5587922,364,-12064,14248968,0
15:35:29.892,0,-3.0,23,600,0,0,0,579,7301,5587946,426,-13537,14248893,0
15:35:29.897,0,-3.01,23,600,0,0,0,572,8189,5587995,358,-9709,14248856,0
15:35:29.902,0,-3.0,23,600,0,0,0,579,9258,5588042,394,-12547,14248768,0
15:35:29.907,0,-2.98,23,600,0,0,0,576,10018,5588102,302,-9965,14248738,0
15:35:29.912,0,-2.95,23,600,0,0,0,593,12965,5588170,340,-10207,14248660,0
15:35:29.917,0,-2.91,23,600,0,0,0,598,12959,5588239,379,-15563,14248574,0
15:35:29.922,0,-2.87,23,600,0,0,0,590,12734,5588318,504,-14849,14248490,0
15:35:29.927,0,-2.85,23,600,0,0,0,606,11824,5588379,375,-14638,14248426,0
15:35:29.932,0,-2.84,23,600,0,0,0,619,14455,5588455,384,-9962,14248393,0
15:35:29.937,0,-2.84,23,600,0,0,0,604,14889,5588539,380,-10806,14248314,0
15:35:29.942,0,-2.84,23,600,0,0,0,590,15457,5588587,399,-12021,14248264,0
15:35:29.947,0,-2.85,23,600,0,0,0,598,14578,5588666,470,-15010,14248181,0
15:35:29.952,0,-2.86,23,600,0,0,0,616,13812,5588731,423,-14182,14248117,0
15:35:29.957,0,-2.87,23,600,0,0,0,599,13998,5588810,374,-12462,14248057,0
15:35:29.962,0,-2.89,23,600,0,0,0,609,15212,5588895,450,-11906,14247989,0
15:35:29.967,0,-2.91,23,600,0,0,0,588,14167,5588955,495,-16665,14247885,0
15:35:29.973,0,-2.92,23,600,0,0,0,594,12458,5589019,424,-14248,14247829,0
15:35:29.978,0,-2.93,23,600,0,0,0,593,9950,5589051,367,-10896,14247789,0
15:35:29.983,0,-2.94,23,600,0,0,0,587,7843,5589079,355,-11293,14247721,0
15:35:29.988,0,-2.93,23,600,0,0,0,603,8116,5589115,393,-11820,14247657,0
15:35:29.993,0,-2.92,23,600,0,0,0,602,12146,5589194,389,-11403,14247605,0
15:35:29.998,0,-2.9,23,600,0,0,0,606,11793,5589258,340,-13377,14247528,0
15:35:30.003,0,-2.88,23,600,0,0,0,595,10765,5589306,312,-10675,14247481,0
15:35:30.008,0,-2.85,23,600,0,0,0,601,6672,5589323,351,-9767,14247434,0
15:35:30.013,0,-2.83,23,600,0,0,0,601,7048,5589354,350,-12245,14247358,0
15:35:30.018,0,-2.82,23,600,0,0,0,610,9744,5589414,334,-11278,14247302,0
15:35:30.023,0,-2.81,23,600,0,0,0,604,10550,5589467,366,-12661,14247233,0
15:35:30.028,0,-2.78,23,600,0,0,0,604,12197,5589542,362,-10442,14247193,0
15:35:30.033,0,-2.76,23,600,0,0,0,595,11646,5589595,450,-14716,14247097,0
15:35:30.038,0,-2.74,23,600,0,0,0,596,9388,5589642,482,-14361,14247033,0
15:35:30.043,0,-2.73,23,600,0,0,0,602,6845,5589671,396,-12127,14246985,0
15:35:30.048,0,-2.73,23,600,0,0,0,611,5705,5589698,341,-11229,14246926,0
15:35:30.054,0,-2.73,23,600,0,0,0,621,8034,5589743,330,-10831,14246866,0
15:35:30.059,0,-2.72,23,600,0,0,0,621,9463,5589802,429,-13571,14246797,0
15:35:30.064,0,-2.69,23,600,0,0,0,578,9917,5589851,326,-10143,14246761,0
15:35:30.069,0,-2.66,23,600,0,0,0,601,10119,5589911,378,-10580,14246698,0
15:35:30.074,0,-2.63,23,600,0,0,0,590,10693,5589959,360,-12960,14246633,0
15:35:30.079,0,-2.61,23,600,0,0,0,612,10358,5590011,323,-9851,14246592,0
15:35:30.084,0,-2.61,23,600,0,0,0,602,9639,5590055,392,-10151,14246525,0
15:35:30.089,0,-2.61,23,600,0,0,0,610,11188,5590123,405,-11653,14246452,0
15:35:30.094,0,-2.62,23,600,0,0,0,599,10932,5590171,439,-11744,14246405,0
15:35:30.099,0,-2.62,23,600,0,0,0,667,13516,5590250,438,-12607,14246337,0
15:35:30.104,0,-2.62,23,600,0,0,0,616,14346,5590315,342,-9986,14246297,0
15:35:30.109,0,-2.63,23,600,0,0,0,608,9080,5590347,356,-11785,14246221,0
15:35:30.114,0,-2.64,23,600,0,0,0,629,8903,5590391,404,-11886,14246170,0
15:35:30.119,0,-2.66,23,600,0,0,0,623,8226,5590426,257,-8861,14246129,0
15:35:30.124,0,-2.67,23,600,0,0,0,595,8363,5590471,422,-10642,14246058,0
15:35:30.129,0,-2.68,23,600,0,0,0,608,7736,5590506,420,-13835,14245981,0
15:35:30.135,0,-2.67,23,600,0,0,0,626,9876,5590570,301,-10403,14245957,0
15:35:30.140,0,-2.65,23,600,0,0,0,611,11782,5590631,428,-11990,14245882,0
15:35:30.145,0,-2.6,23,600,0,0,0,562,16378,5590727,330,-9221,14245836,0
15:35:30.150,0,-2.59,23,600,0,0,0,623,18497,5590842,378,-13661,14245741,0
15:35:30.155,0,-2.6,23,600,0,0,0,703,17693,5590923,399,-15102,14245677,0
15:35:30.160,0,-2.63,23,600,0,0,0,589,13011,5590979,384,-13572,14245626,0
15:35:30.165,0,-2.67,23,600,0,0,0,547,12835,5591034,422,-11665,14245561,0
15:35:30.170,0,-2.72,23,600,0,0,0,578,9394,5591059,332,-13056,14245482,0
15:35:30.175,0,-2.75,23,600,0,0,0,576,10347,5591123,367,-12723,14245438,0
15:35:30.180,0,-2.76,23,600,0,0,0,603,14052,5591215,341,-7473,14245405,0
15:35:30.185,0,-2.75,23,600,0,0,0,613,18330,5591326,409,-11374,14245305,0
15:35:30.190,0,-2.74,23,600,0,0,0,612,15790,5591387,416,-13245,14245221,0
15:35:30.195,0,-2.74,23,600,0,0,0,618,14789,5591454,408,-13546,14245160,0
15:35:30.200,0,-2.76,23,600,0,0,0,558,13395,5591523,390,-14792,14245085,0
15:35:30.205,0,-2.78,23,600,0,0,0,579,12703,5591579,334,-10052,14245049,0
15:35:30.210,0,-2.8,23,600,0,0,0,582,12931,5591647,421,-12072,14244974,0
15:35:30.216,0,-2.82,23,600,0,0,0,602,14857,5591727,436,-15105,14244885,0
15:35:30.221,0,-2.82,23,600,0,0,0,607,17353,5591819,432,-12190,14244849,0
15:35:30.226,0,-2.83,23,600,0,0,0,618,13860,5591887,425,-12893,14244774,0
15:35:30.231,0,-2.84,23,600,0,0,0,590,13715,5591954,432,-11029,14244713,0
15:35:30.236,0,-2.86,23,600,0,0,0,595,11045,5591995,396,-12891,14244648,0
15:35:30.241,0,-2.89,23,600,0,0,0,598,11322,5592054,411,-14451,14244569,0
15:35:30.246,0,-2.9,23,600,0,0,0,597,10867,5592099,428,-13229,14244513,0
15:35:30.251,0,-2.91,23,600,0,0,0,592,8157,5592138,384,-11485,14244461,0
15:35:30.256,0,-2.9,23,600,0,0,0,609,9586,5592202,337,-10943,14244401,0
15:35:30.261,0,-2.88,23,600,0,0,0,635,10140,5592251,408,-12370,14244340,0
15:35:30.266,0,-2.85,23,600,0,0,0,594,10995,5592311,346,-14581,14244266,0
15:35:30.271,0,-2.84,23,600,0,0,0,608,11011,5592379,370,-12551,14244222,0
15:35:30.276,0,-2.82,23,600,0,0,0,597,11051,5592435,335,-12304,14244161,0
15:35:30.281,0,-2.81,23,600,0,0,0,612,13093,5592507,337,-8590,14244130,0
15:35:30.286,0,-2.81,23,600,0,0,0,587,13107,5592570,419,-12609,14244037,0
15:35:30.291,0,-2.81,23,600,0,0,0,573,12876,5592650,514,-13411,14243962,0
15:35:30.297,0,-2.82,23,600,0,0,0,595,16499,5592750,359,-11165,14243926,0
15:35:30.302,0,-2.84,23,600,0,0,0,627,16617,5592863,380,-10521,14243849,0
15:35:30.307,0,-2.87,23,600,0,0,0,606,14305,5592907,489,-15090,14243757,0
15:35:30.312,0,-2.9,23,600,0,0,0,645,10808,5592943,403,-11809,14243725,0
15:35:30.317,0,-2.94,23,600,0,0,0,592,11020,5593003,411,-9699,14243661,0
15:35:30.322,0,-2.97,23,600,0,0,0,604,10703,5593050,411,-14097,14243566,0
15:35:30.327,0,-2.99,23,600,0,0,0,613,14625,5593146,424,-13965,14243516,0
15:35:30.332,0,-2.98,23,600,0,0,0,677,12097,5593191,461,-14557,14243437,0
15:35:30.337,0,-2.97,23,600,0,0,0,605,8410,5593227,424,-12060,14243381,0
15:35:30.342,0,-2.96,23,600,0,0,0,603,7637,5593259,283,-12043,14243324,0
15:35:30.347,0,-2.94,23,600,0,0,0,619,6471,5593290,350,-12859,14243253,0
15:35:30.352,0,-2.92,23,600,0,0,0,612,8709,5593343,463,-12439,14243204,0
15:35:30.357,0,-2.9,23,600,0,0,0,568,9680,5593402,303,-11384,14243150,0
15:35:30.362,0,-2.86,23,600,0,0,0,552,12223,5593466,398,-9707,14243096,0
15:35:30.367,0,-2.83,23,600,0,0,0,614,13672,5593547,437,-12970,14243017,0
15:35:30.372,0,-2.8,23,600,0,0,0,633,11858,5593614,370,-12103,14242961,0
15:35:30.377,0,-2.79,23,600,0,0,0,607,8493,5593642,288,-8647,14242922,0
15:35:30.382,0,-2.79,23,600,0,0,0,659,4486,5593650,433,-10595,14242841,0
15:35:30.388,0,-2.8,23,600,0,0,0,612,5880,5593678,361,-11089,14242793,0
15:35:30.393,0,-2.8,23,600,0,0,0,659,10983,5593751,291,-10198,14242745,0
15:35:30.398,0,-2.78,23,600,0,0,0,553,17619,5593855,460,-13122,14242666,0
15:35:30.403,0,-2.75,23,600,0,0,0,620,17511,5593955,361,-13134,14242605,0
15:35:30.408,0,-2.72,23,600,0,0,0,660,12138,5594010,383,-10377,14242552,0
15:35:30.413,0,-2.72,23,600,0,0,0,646,8896,5594042,403,-13575,14242474,0
15:35:30.418,0,-2.74,23,600,0,0,0,590,4218,5594047,392,-13796,14242409,0
15:35:30.423,0,-2.78,23,600,0,0,0,615,4778,5594075,442,-11857,14242358,0
15:35:30.428,0,-2.8,23,600,0,0,0,602,9146,5594143,369,-10083,14242317,0
15:35:30.433,0,-2.79,23,600,0,0,0,666,15360,5594262,422,-12052,14242221,0
15:35:30.438,0,-2.75,23,600,0,0,0,643,12882,5594323,290,-12913,14242164,0
15:35:30.443,0,-2.71,23,600,0,0,0,621,7202,5594331,276,-6943,14242145,0
15:35:30.448,0,-2.69,23,600,0,0,0,614,6086,5594358,420,-12018,14242057,0
15:35:30.453,0,-2.69,23,600,0,0,0,563,5718,5594379,305,-12694,14241994,0
15:35:30.458,0,-2.69,23,600,0,0,0,599,7519,5594430,233,-10431,14241950,0
15:35:30.463,0,-2.68,23,600,0,0,0,595,9504,5594475,348,-11022,14241904,0
15:35:30.468,0,-2.65,23,600,0,0,0,638,11439,5594538,331,-10902,14241850,0
15:35:30.473,0,-2.61,23,600,0,0,0,586,11778,5594611,335,-10333,14241801,0
15:35:30.478,0,-2.57,23,600,0,0,0,612,12470,5594690,331,-9938,14241745,0
15:35:30.484,0,-2.55,23,600,0,0,0,589,13754,5594759,408,-11208,14241673,0
15:35:30.489,0,-2.56,23,600,0,0,0,586,13227,5594830,421,-13389,14241609,0
15:35:30.494,0,-2.57,23,600,0,0,0,609,14278,5594906,336,-9548,14241572,0
15:35:30.499,0,-2.6,23,600,0,0,0,596,14463,5594986,401,-12799,14241497,0
15:35:30.504,0,-2.62,23,600,0,0,0,606,13867,5595050,389,-10797,14241446,0
15:35:30.509,0,-2.65,23,600,0,0,0,597,15774,5595147,351,-10554,14241385,0
15:35:30.514,0,-2.67,23,600,0,0,0,612,16609,5595226,447,-13751,14241306,0
15:35:30.519,0,-2.7,0,600,0,0,0,603,15369,5595306,444,-16168,14241224,0
15:35:30.524,0,-2.73,0,600,0,0,0,604,14625,5595386,388,-12749,14241174,0
15:35:30.529,0,-2.76,0,600,0,0,0,593,10496,5595418,380,-12371,14241116,0
15:35:30.534,0,-2.78,0,600,0,0,0,597,7504,5595447,350,-10677,14241064,0
15:35:30.539,0,-2.8,0,600,0,0,0,582,8432,5595483,418,-11564,14240989,0
15:35:30.544,0,-2.8,0,600,0,0,0,596,12724,5595562,371,-13478,14240925,0
15:35:30.549,0,-2.79,0,600,0,0,0,610,17306,5595659,389,-11263,14240873,0
15:35:30.554,0,-2.75,0,600,0,0,0,612,14834,5595731,374,-11822,14240800,0
15:35:30.559,0,-2.72,0,600,0,0,0,612,10093,5595770,401,-10610,14240744,0
15:35:30.564,0,-2.69,0,600,0,0,0,586,6548,5595787,378,-11496,14240692,0
15:35:30.569,0,-2.68,0,600,0,0,0,607,6787,5595823,387,-11382,14240636,0
15:35:30.574,0,-2.68,0,600,0,0,0,587,10395,5595882,349,-9832,14240589,0
15:35:30.580,0,-2.68,0,600,0,0,0,584,13071,5595963,387,-13108,14240509,0
15:35:30.585,0,-2.66,0,600,0,0,0,602,16944,5596059,352,-9265,14240489,0
15:35:30.590,0,-2.64,0,600,0,0,0,687,20315,5596186,318,-11015,14240412,0
15:35:30.595,0,-2.62,0,600,0,0,0,613,17239,5596250,338,-9622,14240361,0
15:35:30.600,0,-2.65,0,600,0,0,0,581,11951,5596299,279,-10177,14240296,0
15:35:30.605,0,-2.7,0,600,0,0,0,594,8221,5596331,310,-8079,14240264,0
15:35:30.610,0,-2.76,0,600,0,0,0,589,8897,5596375,286,-10749,14240188,0
15:35:30.615,0,-2.79,0,600,0,0,0,630,10669,5596439,390,-12070,14240122,0
15:35:30.620,0,-2.8,0,600,0,0,0,604,12898,5596506,324,-11123,14240073,0
15:35:30.625,0,-2.78,0,600,0,0,0,598,11262,5596559,391,-12747,14240010,0
15:35:30.630,0,-2.76,0,600,0,0,0,565,11968,5596618,401,-10379,14239965,0
15:35:30.635,0,-2.75,0,600,0,0,0,608,10347,5596667,379,-11656,14239900,0
15:35:30.640,0,-2.74,0,600,0,0,0,639,10458,5596730,243,-10426,14239849,0
15:35:30.645,0,-2.73,0,600,0,0,0,600,13593,5596810,328,-10202,14239802,0
15:35:30.650,0,-2.73,0,600,0,0,0,563,15136,5596891,368,-13579,14239722,0
15:35:30.655,0,-2.74,0,600,0,0,0,606,15743,5596986,355,-12686,14239666,0
15:35:30.660,0,-2.75,0,600,0,0,0,583,13200,5597035,370,-11163,14239613,0
15:35:30.665,0,-2.78,0,600,0,0,0,567,10551,5597083,298,-9927,14239569,0
15:35:30.671,0,-2.8,0,600,0,0,0,578,8826,5597119,318,-9534,14239513,0
15:35:30.676,0,-2.83,0,600,0,0,0,602,14682,5597211,397,-11309,14239441,0
15:35:30.681,0,-2.84,0,600,0,0,0,617,18244,5597322,405,-14860,14239357,0
15:35:30.686,0,-2.84,0,600,0,0,0,671,20719,5597435,429,-12853,14239317,0
15:35:30.691,0,-2.86,0,600,0,0,0,618,15449,5597511,335,-12662,14239245,0
15:35:30.696,0,-2.89,0,600,0,0,0,641,11336,5597546,437,-12709,14239168,0
15:35:30.701,0,-2.93,0,600,0,0,0,596,5753,5597546,359,-11835,14239110,0
15:35:30.706,0,-2.96,0,600,0,0,0,601,6727,5597583,416,-15973,14239029,0
15:35:30.711,0,-2.97,0,600,0,0,0,620,11877,5597658,431,-9924,14239005,0
15:35:30.716,0,-2.95,0,600,0,0,0,650,13177,5597738,370,-12829,14238921,0
15:35:30.721,0,-2.91,0,600,0,0,0,618,12068,5597787,391,-11839,14238858,0
15:35:30.726,0,-2.86,0,600,0,0,0,595,7815,5597807,555,-15958,14238777,0
15:35:30.731,0,-2.83,0,600,0,0,0,577,6454,5597835,402,-11622,14238744,0
15:35:30.736,0,-2.8,0,600,0,0,0,601,5651,5597855,339,-11143,14238681,0
15:35:30.741,0,-2.78,0,600,0,0,0,619,8713,5597919,290,-9016,14238641,0
15:35:30.746,0,-2.74,0,600,0,0,0,605,12168,5597994,353,-10314,14238568,0
15:35:30.751,0,-2.69,0,600,0,0,0,611,11635,5598043,395,-12956,14238488,0
15:35:30.756,0,-2.64,0,600,0,0,0,602,11806,5598110,319,-11054,14238456,0
15:35:30.761,0,-2.61,0,600,0,0,0,593,13312,5598183,344,-9695,14238397,0
15:35:30.767,0,-2.6,0,600,0,0,0,611,14287,5598267,383,-12835,14238314,0
15:35:30.772,0,-2.6,0,600,0,0,0,606,13295,5598330,373,-11296,14238260,0
15:35:30.777,0,-2.62,0,600,0,0,0,582,14782,5598410,337,-7671,14238232,0
15:35:30.782,0,-2.64,0,600,0,0,0,605,14434,5598487,407,-12285,14238142,0
15:35:30.787,0,-2.66,0,600,0,0,0,601,12591,5598538,409,-12538,14238090,0
15:35:30.792,0,-2.69,0,600,0,0,0,609,12541,5598603,371,-9340,14238053,0
15:35:30.797,0,-2.72,0,600,0,0,0,609,11150,5598650,322,-9470,14237994,0
15:35:30.802,0,-2.73,0,600,0,0,0,599,13874,5598726,466,-13838,14237914,0
15:35:30.807,0,-2.74,0,600,0,0,0,588,11245,5598795,437,-12631,14237849,0
15:35:30.812,0,-2.75,0,600,0,0,0,604,11911,5598858,344,-11782,14237805,0
15:35:30.817,0,-2.76,0,600,0,0,0,575,11176,5598906,321,-8923,14237761,0
15:35:30.822,0,-2.76,0,600,0,0,0,603,11697,5598971,390,-11442,14237690,0
15:35:30.827,0,-2.76,0,600,0,0,0,599,12402,5599034,335,-9420,14237657,0
15:35:30.832,0,-2.76,0,600,0,0,0,588,15916,5599122,471,-15177,14237565,0
15:35:30.837,0,-2.76,0,600,0,0,0,585,15621,5599194,353,-13937,14237513,0
15:35:30.842,0,-2.77,0,600,0,0,0,614,13904,5599251,319,-10799,14237472,0
15:35:30.847,0,-2.78,0,600,0,0,0,618,8065,5599271,427,-12989,14237405,0
15:35:30.852,0,-2.79,0,600,0,0,0,596,7536,5599302,331,-12388,14237349,0
15:35:30.858,0,-2.8,0,600,0,0,0,590,11139,5599371,319,-9489,14237300,0
15:35:30.863,0,-2.8,0,600,0,0,0,571,16370,5599467,427,-10823,14237241,0
15:35:30.868,0,-2.77,0,600,0,0,0,606,17582,5599555,398,-13532,14237162,0
15:35:30.873,0,-2.75,0,600,0,0,0,607,16521,5599647,347,-11004,14237113,0
15:35:30.878,0,-2.73,0,600,0,0,0,627,10297,5599671,442,-11399,14237048,0
15:35:30.883,0,-2.73,0,600,0,0,0,623,8381,5599706,362,-11619,14236988,0
15:35:30.888,0,-2.75,0,600,0,0,0,582,10054,5599755,339,-9889,14236953,0
15:35:30.893,0,-2.76,0,600,0,0,0,584,14874,5599851,289,-9970,14236894,0
15:35:30.898,0,-2.75,0,600,0,0,0,590,19069,5599959,330,-8838,14236841,0
15:35:30.903,0,-2.74,0,600,0,0,0,604,18102,5600058,362,-11233,14236773,0
15:35:30.908,0,-2.73,0,600,0,0,0,588,12949,5600091,475,-12699,14236702,0
15:35:30.913,0,-2.74,0,600,0,0,0,604,8608,5600119,353,-12855,14236645,0
15:35:30.918,0,-2.77,0,600,0,0,0,590,12741,5600199,363,-8728,14236620,0
15:35:30.923,0,-2.81,0,600,0,0,0,560,15455,5600279,427,-15527,14236517,0
15:35:30.928,0,-2.83,0,600,0,0,0,580,15687,5600366,404,-11405,14236484,0
15:35:30.933,0,-2.84,0,600,0,0,0,563,15431,5600438,426,-9336,14236442,0
15:35:30.938,0,-2.84,0,600,0,0,0,604,13638,5600502,439,-11606,14236362,0
15:35:30.943,0,-2.85,0,600,0,0,0,557,12261,5600555,382,-13323,14236289,0
15:35:30.949,0,-2.88,0,600,0,0,0,549,14647,5600638,376,-11368,14236250,0
15:35:30.954,0,-2.9,0,600,0,0,0,607,17343,5600742,496,-12259,14236177,0
15:35:30.959,0,-2.92,0,600,0,0,0,600,17930,5600843,483,-15167,14236073,0
15:35:30.964,0,-2.93,0,600,0,0,0,662,12780,5600898,401,-11070,14236041,0
15:35:30.969,0,-2.95,0,600,0,0,0,618,7927,5600914,419,-10906,14235969,0
15:35:30.974,0,-2.97,0,600,0,0,0,584,6679,5600938,462,-14105,14235882,0
15:35:30.979,0,-2.99,0,600,0,0,0,613,10063,5600995,302,-10973,14235850,0
15:35:30.984,0,-2.99,0,600,0,0,0,611,15259,5601099,456,-10389,14235781,0
15:35:30.989,0,-2.98,0,600,0,0,0,623,18133,5601178,468,-13592,14235705,0
15:35:30.994,0,-2.94,0,600,0,0,0,634,15870,5601259,354,-10497,14235673,0
15:35:30.999,0,-2.91,0,600,0,0,0,584,9885,5601290,442,-12372,14235593,0
15:35:31.004,0,-2.9,0,600,0,0,0,597,6422,5601302,345,-11068,14235542,0
15:35:31.009,0,-2.92,0,600,0,0,0,601,5017,5601322,309,-10419,14235494,0
15:35:31.014,0,-2.94,0,600,0,0,0,586,7902,5601370,416,-12457,14235421,0
15:35:31.019,0,-2.94,0,600,0,0,0,623,13399,5601467,371,-11910,14235365,0
15:35:31.024,0,-2.92,0,600,0,0,0,613,16575,5601562,396,-11709,14235305,0
15:35:31.029,0,-2.89,0,600,0,0,0,637,13135,5601622,452,-13715,14235225,0
15:35:31.035,0,-2.86,0,600,0,0,0,622,6403,5601631,424,-11759,14235174,0
15:35:31.040,0,-2.86,0,600,0,0,0,604,4699,5601643,409,-11830,14235122,0
15:35:31.045,0,-2.88,0,600,0,0,0,594,5368,5601675,436,-11791,14235053,0
15:35:31.050,0,-2.87,0,600,0,0,0,612,9641,5601743,382,-11769,14235009,0
15:35:31.055,0,-2.84,0,600,0,0,0,604,11341,5601818,344,-10358,14234950,0
15:35:31.060,0,-2.79,0,600,0,0,0,602,10589,5601863,439,-12891,14234868,0
15:35:31.065,0,-2.76,0,600,0,0,0,612,10022,5601914,323,-10014,14234840,0
15:35:31.070,0,-2.74,0,600,0,0,0,610,10447,5601962,387,-11489,14234762,0
15:35:31.075,0,-2.73,0,600,0,0,0,614,11212,5602030,339,-11965,14234700,0
15:35:31.080,0,-2.73,0,600,0,0,0,619,8615,5602071,373,-9389,14234665,0
15:35:31.085,0,-2.73,0,600,0,0,0,583,6643,5602095,413,-13358,14234585,0
15:35:31.090,0,-2.73,0,600,0,0,0,589,5308,5602118,353,-10105,14234550,0
15:35:31.095,0,-2.72,0,600,0,0,0,604,6308,5602150,329,-8008,14234522,0
15:35:31.100,0,-2.7,0,600,0,0,0,606,7016,5602190,345,-9070,14234461,0
15:35:31.105,0,-2.67,0,600,0,0,0,591,7524,5602226,339,-9649,14234410,0
15:35:31.111,0,-2.64,0,600,0,0,0,592,7014,5602258,314,-10237,14234366,0
15:35:31.116,0,-2.61,0,600,0,0,0,611,7088,5602295,264,-8738,14234329,0
15:35:31.121,0,-2.59,0,600,0,0,0,599,7782,5602334,338,-6938,14234285,0
15:35:31.126,0,-2.57,0,600,0,0,0,589,6183,5602363,377,-11607,14234209,0
15:35:31.131,0,-2.55,0,600,0,0,0,598,6253,5602395,281,-6771,14234201,0
